network_id,station_id,path
ASOSAWOS,ASOSAWOS_72097100342,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72097100342.zarr/
ASOSAWOS,ASOSAWOS_72097600345,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72097600345.zarr/
ASOSAWOS,ASOSAWOS_72103600353,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72103600353.zarr/
ASOSAWOS,ASOSAWOS_72206103038,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72206103038.zarr/
ASOSAWOS,ASOSAWOS_72209653127,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72209653127.zarr/
ASOSAWOS,ASOSAWOS_72210103039,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72210103039.zarr/
ASOSAWOS,ASOSAWOS_72214204114,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72214204114.zarr/
ASOSAWOS,ASOSAWOS_72215503040,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72215503040.zarr/
ASOSAWOS,ASOSAWOS_72220303041,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72220303041.zarr/
ASOSAWOS,ASOSAWOS_72220804224,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72220804224.zarr/
ASOSAWOS,ASOSAWOS_72222100444,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72222100444.zarr/
ASOSAWOS,ASOSAWOS_72233303069,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72233303069.zarr/
ASOSAWOS,ASOSAWOS_72267603035,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72267603035.zarr/
ASOSAWOS,ASOSAWOS_72267703027,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72267703027.zarr/
ASOSAWOS,ASOSAWOS_72267823052,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72267823052.zarr/
ASOSAWOS,ASOSAWOS_72268023009,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72268023009.zarr/
ASOSAWOS,ASOSAWOS_72268393083,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72268393083.zarr/
ASOSAWOS,ASOSAWOS_72268793033,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72268793033.zarr/
ASOSAWOS,ASOSAWOS_72268923077,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72268923077.zarr/
ASOSAWOS,ASOSAWOS_72269393097,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72269393097.zarr/
ASOSAWOS,ASOSAWOS_72269593041,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72269593041.zarr/
ASOSAWOS,ASOSAWOS_72270023044,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72270023044.zarr/
ASOSAWOS,ASOSAWOS_72271093045,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72271093045.zarr/
ASOSAWOS,ASOSAWOS_72272193063,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72272193063.zarr/
ASOSAWOS,ASOSAWOS_72272523078,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72272523078.zarr/
ASOSAWOS,ASOSAWOS_72272803196,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72272803196.zarr/
ASOSAWOS,ASOSAWOS_72273003124,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72273003124.zarr/
ASOSAWOS,ASOSAWOS_72274023160,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72274023160.zarr/
ASOSAWOS,ASOSAWOS_72274793084,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72274793084.zarr/
ASOSAWOS,ASOSAWOS_72274803914,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72274803914.zarr/
ASOSAWOS,ASOSAWOS_72274953128,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72274953128.zarr/
ASOSAWOS,ASOSAWOS_72276403029,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72276403029.zarr/
ASOSAWOS,ASOSAWOS_72278023183,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72278023183.zarr/
